time,positionX,positionY
444.002,109.535,23.7933
445.003,109.535,23.7933
446.004,109.535,23.7933
447.005,109.535,23.7933
448.006,109.535,23.7933
449.007,109.535,23.7933
450.008,109.535,23.7933
451.009,109.536,23.7933
452.01,109.536,23.7933
453.001,109.536,23.7933
454.002,109.536,23.7933
455.003,109.536,23.7933
456.004,109.536,23.7933
457.005,109.537,23.7933
458.006,109.537,23.7933
459.007,109.537,23.7933
460.008,109.537,23.7933
461.009,109.537,23.7933
462.01,109.537,23.7933
463.001,109.537,23.7933
464.001,109.538,23.7933
465.002,109.538,23.7933
466.003,109.538,23.7933
467.004,109.539,23.7933
468.005,109.539,23.7933
469.006,109.539,23.7933
470.007,109.539,23.7933
471.008,109.539,23.7934
472.009,109.539,23.7934
473,109.539,23.7934
474.001,109.539,23.7934
475.002,109.539,23.7934
476.003,109.539,23.7934
477.004,109.54,23.7934
478.005,109.54,23.7934
479.006,109.54,23.7934
480.007,109.54,23.7934
481.008,109.54,23.7934
482.009,109.54,23.7934
483,109.54,23.7934
484.001,109.54,23.7934
485.002,109.541,23.7934
486.003,109.541,23.7934
487.004,109.541,23.7934
488.005,109.541,23.7934
489.006,109.541,23.7934
490.007,109.541,23.7934
491.008,109.541,23.7934
492.009,109.542,23.7934
493.01,109.542,23.7934
494.001,109.542,23.7934
495.002,109.542,23.7934
496.003,109.542,23.7934
497.004,109.542,23.7934
498.005,109.542,23.7934
499.006,109.542,23.7934
500.007,109.542,23.7934
501.008,109.542,23.7934
502.009,109.542,23.7934
503.01,109.542,23.7934
504.001,109.542,23.7934
505.001,109.542,23.7934
506.002,109.543,23.7935
507.003,109.543,23.7935
508.004,109.543,23.7935
509.005,109.543,23.7935
510.006,109.543,23.7935
511.007,109.543,23.7935
512.008,109.543,23.7935
513.009,109.544,23.7935
514,109.544,23.7935
515.001,109.544,23.7935
516.002,109.544,23.7935
517.003,109.545,23.7935
518.004,109.545,23.7935
519.005,109.545,2
